id,cost,time,mem,score,rank
19231177,251649,229469290843.000000,12.331250,0.991822,1
19231140,251763,229429360739.000000,12.335156,0.991600,2
19373223,252600,229511678600.000000,12.331250,0.987360,3
19373650,252522,229547122336.000000,12.331250,0.986217,4
19377059,253779,229506692438.000000,12.331250,0.984062,5
19375032,252816,229617596319.000000,12.331250,0.982612,6
19373256,253626,229531798437.000000,12.335156,0.982108,7
19373562,254097,229538455673.000000,12.331250,0.981887,8
19375332,252786,229666958059.000000,12.331250,0.980786,9
19373684,255717,229490323187.000000,12.331250,0.978956,10
19373654,254502,229558748649.000000,12.335156,0.978468,11
19373699,254070,229698998318.000000,12.331250,0.975740,12
19373682,253359,229757988777.000000,12.331250,0.975558,13
19231188,256602,229608853472.000000,12.331250,0.971737,14
19377448,254412,229793877781.000000,12.331250,0.971046,15
19373736,257724,229574060841.000000,12.331250,0.969763,16
19373451,256869,229737399076.000000,12.331250,0.965959,17
19373315,254997,229933182700.000000,12.331250,0.963910,18
19182605,262293,229431404106.000000,12.331250,0.961763,19
19373385,263061,229419234362.000000,12.331250,0.959960,20
19374275,252387,230363530463.000000,12.331250,0.954947,21
19231142,262401,229670768552.000000,12.327344,0.953590,22
19373074,264846,229458169863.000000,12.331250,0.953162,23
19376391,266505,229372362193.000000,12.327344,0.953009,24
19373230,265083,229445873419.000000,12.331250,0.952937,25
19373477,264846,229471626724.000000,12.331250,0.952640,26
19373469,265083,229468323656.000000,12.331250,0.952066,27
19373429,266505,229430196580.000000,12.327344,0.950766,28
19231136,262401,229753881613.000000,12.327344,0.950366,29
19373341,264846,229561249449.000000,12.331250,0.949164,30
19373721,264846,229504457832.000000,12.339063,0.948501,31
19373126,264846,229587912836.000000,12.331250,0.948129,32
19373311,262815,229793746906.000000,12.331250,0.946161,33
19373452,254781,230424712752.000000,12.331250,0.945482,34
19373182,264846,229675812813.000000,12.331250,0.944720,35
19373022,264846,229769586346.000000,12.335156,0.939649,36
19373135,262383,230148071883.000000,12.331250,0.933696,37
19373193,264846,230043144764.000000,12.327344,0.931903,38
19373105,264933,230101840962.000000,12.331250,0.927936,39
19231111,264849,230112631912.000000,12.331250,0.927766,40
19231155,264846,230206097373.000000,12.327344,0.925582,41
19373017,264846,230174947272.000000,12.331250,0.925358,42
19373794,264846,230089132647.000000,12.342969,0.924388,43
19373801,264846,230248030395.000000,12.331250,0.922523,44
19373405,265005,230319069381.000000,12.331250,0.919296,45
19373447,264846,230356224412.000000,12.331250,0.918326,46
19373157,264849,229851892215.000000,12.393750,0.914958,47
19373061,267798,230231672335.000000,12.331250,0.914413,48
18375354,264846,230407485969.000000,12.339063,0.913472,49
19373716,255126,231387479772.000000,12.331250,0.907114,50
19373442,256890,231296310668.000000,12.331250,0.905425,51
19375273,252564,231655493844.000000,12.331250,0.904306,52
19373659,256926,231345447005.000000,12.331250,0.903412,53
18373733,255690,231471757888.000000,12.331250,0.902174,54
19231258,250641,231896814828.000000,12.335156,0.899208,55
19182637,262272,231159376144.000000,12.331250,0.894795,56
18373727,254778,231742594051.000000,12.331250,0.894369,57
19373276,255186,231751278771.000000,12.331250,0.892824,58
19373348,262233,231256523933.000000,12.331250,0.891142,59
19231012,255021,231808860243.000000,12.331250,0.891079,60
19231135,264846,231102895813.000000,12.331250,0.889361,61
19375341,262407,231348292748.000000,12.327344,0.888499,62
19373587,276939,230248117793.000000,12.327344,0.888131,63
19373117,276954,230249822863.000000,12.327344,0.888021,64
19373106,254863,231901684348.000000,12.331250,0.887946,65
19373573,276939,230282813718.000000,12.327344,0.886785,66
19374385,264846,231265365437.000000,12.331250,0.883059,67
19373224,261036,231570548042.000000,12.331250,0.882506,68
19373630,264846,231313041125.000000,12.331250,0.881210,69
19373205,265218,231284732410.000000,12.331250,0.881206,70
19373763,264846,231386283637.000000,12.331250,0.878368,71
19373035,264846,231427024061.000000,12.335156,0.875356,72
19376273,264846,231514672253.000000,12.331250,0.873388,73
19376375,265527,231495914989.000000,12.331250,0.872099,74
19373678,264846,231679417935.000000,12.335156,0.865565,75
19182655,264846,231722090975.000000,12.331250,0.865342,76
19373750,264846,231694718656.000000,12.335156,0.864971,77
17231189,276939,230866500498.000000,12.327344,0.864143,78
19373449,264855,231762545073.000000,12.331250,0.863746,79
19373775,264846,231820449886.000000,12.331250,0.861527,80
79066012,264846,231837126104.000000,12.331250,0.860880,81
18374280,264846,231710557059.000000,12.346875,0.860059,82
19373115,266184,231785091682.000000,12.331250,0.858935,83
19373528,255084,232724120736.000000,12.331250,0.855388,84
19373372,271335,231403491386.000000,12.346875,0.852749,85
79066011,265596,229663255066.000000,12.581250,0.851295,86
19373799,264846,232124452881.000000,12.331250,0.849734,87
19373025,264846,231995668329.000000,12.346875,0.848999,88
19373600,301779,229616392633.000000,12.327344,0.839058,89
19373307,264867,232576739993.000000,12.331250,0.832127,90
19373807,264846,231960524392.000000,12.405469,0.828872,91
19373026,276939,232074335348.000000,12.331250,0.815857,92
19373733,277089,232451968817.000000,12.331250,0.800764,93
19373118,262407,231237656239.000000,12.581250,0.799668,94
19373063,317961,229585691776.000000,12.331250,0.790884,95
19373011,268218,229450348367.000000,12.831250,0.760096,96
19231172,264930,234528175302.000000,12.331250,0.756242,97
19373167,429849,231155090899.000000,12.327344,0.400014,98
19373749,486960,229450057193.000000,12.327344,0.296986,99
18375299,618912,231244032014.000000,12.342969,-0.169190,100
19373153,2303082,232303892726.000000,12.331250,-5.194681,101
19373758,264846,232407430663.000000,35.237500,-7.562397,102
